date,open,high,low,close,volume
2025-06-11 13:46:02.247826,31848.254964249056,32037.12949398689,31829.808355692843,32003.277589467205,4491376
2025-06-12 13:46:02.247826,31267.446752515887,31699.84595996681,31438.016525338513,31463.70221544836,7110372
2025-06-13 13:46:02.247826,30487.70875817097,30722.058806103978,30485.236293229238,30652.44108534406,4766955
2025-06-14 13:46:02.247826,29238.576098643844,29547.687590545396,29135.847154033698,29357.29537465147,6209424
2025-06-15 13:46:02.247826,29325.468210685445,29571.598315260617,29380.02591399108,29393.48201260404,3501212
2025-06-16 13:46:02.247826,28319.90803184317,28444.78194363521,28225.0767231913,28403.289506559573,3293518
2025-06-17 13:46:02.247826,28305.619711463525,28516.496346533724,28338.302367613782,28417.652211453962,8832052
2025-06-18 13:46:02.247826,27805.741152494076,28011.716122558242,27557.229192615974,27831.77292407481,9320332
2025-06-19 13:46:02.247826,26829.927206443685,27139.228381776284,26904.187906921245,26963.615156549917,9951544
2025-06-20 13:46:02.247826,27066.6114932188,27396.238304811737,26929.477551360713,27170.2006052328,7236983
2025-06-21 13:46:02.247826,26738.15968126637,27080.27525686753,26740.822537466185,26900.316473365572,9108518
2025-06-22 13:46:02.247826,27039.159948902787,27326.353089871034,26882.179834892748,27098.957885535623,1973079
2025-06-23 13:46:02.247826,27389.961410589214,27624.308836322423,27306.890836163657,27410.399916192648,2230949
2025-06-24 13:46:02.247826,27158.301139995678,27428.023607827723,27020.661820981968,27302.47034499592,9861506
2025-06-25 13:46:02.247826,27050.836945492232,27343.380068861003,27120.13653714629,27184.30498144319,6080582
2025-06-26 13:46:02.247826,26756.92841456981,27207.336988356135,26794.073091597766,26936.596774681868,4979213
2025-06-27 13:46:02.247826,26491.194882085332,26647.73490818799,26396.60594937703,26645.494619980396,4301460
2025-06-28 13:46:02.247826,26283.388922569364,26490.824966602166,26320.24897861025,26351.404132023123,3501221
2025-06-29 13:46:02.247826,25828.971384610733,26046.75492595301,25879.234828858458,25889.64876759176,5783697
2025-06-30 13:46:02.247826,25575.206483658345,25883.303500250877,25383.186658091356,25624.044626545412,3470906
2025-07-01 13:46:02.247826,25047.365440031735,25258.503087949342,25067.60366939372,25184.180723183046,1317026
2025-07-02 13:46:02.247826,24549.006267876975,24885.480859955398,24567.72713624392,24676.748603941418,8356444
2025-07-03 13:46:02.247826,23934.59890698752,24195.771915402423,23926.159206604825,24023.032834794063,5013791
2025-07-04 13:46:02.247826,23045.34202724699,23273.393546479314,23157.143846963263,23160.140974405127,4933528
2025-07-05 13:46:02.247826,23868.14091793756,23910.90655838832,23778.826563588766,23896.509563902084,6765731
2025-07-06 13:46:02.247826,23832.57433019315,24119.268925415014,23718.35333034456,23848.206443822437,2201503
2025-07-07 13:46:02.247826,23119.181880271364,23232.245731781102,23037.822346315654,23222.448240067515,5045814
2025-07-08 13:46:02.247826,22031.327928111783,22304.69335073446,21985.06486883068,22058.05943579451,8530881
2025-07-09 13:46:02.247826,21798.223757857406,22031.449515630775,21743.449317480125,21820.349069546122,8390915
2025-07-10 13:46:02.247826,21385.873297923026,21573.615649494655,21372.7009034025,21461.290352685195,4989902
2025-07-11 13:46:02.247826,22196.770847783966,22457.111229551763,21983.720276770182,22217.787907293692,4415189
2025-07-12 13:46:02.247826,21695.598825739857,21935.10974967298,21713.108297004805,21883.675054360352,4369771
2025-07-13 13:46:02.247826,21375.89544690763,21579.26350874312,21235.123359861514,21462.593188682928,7032291
2025-07-14 13:46:02.247826,23293.39100997885,23477.222840035058,23266.709899048066,23322.886751683523,7135038
2025-07-15 13:46:02.247826,23089.284519822686,23233.35792247965,22902.664861367084,23193.698385577023,1765784
