date,open,high,low,close,volume
2025-06-11 13:46:02.244773,34546.31559529227,34702.088097338725,34442.36753397205,34595.67666108371,6220232
2025-06-12 13:46:02.244773,33763.24379782993,33982.86205776323,33604.98599199313,33769.10812870626,7844149
2025-06-13 13:46:02.244773,33786.45661740282,33967.777602069036,33850.23429416557,33880.20459055418,2960626
2025-06-14 13:46:02.244773,33935.93232166185,34339.827503831264,33983.063377119055,34049.026363446064,5029650
2025-06-15 13:46:02.244773,33531.29966713611,33595.55886591991,33320.7564764341,33593.5395632089,8720402
2025-06-16 13:46:02.244773,32528.000827699103,32801.15756710563,32601.789981990838,32693.875117691212,6092023
2025-06-17 13:46:02.244773,32112.27272890524,32540.418107334124,32269.837929402,32273.92902576573,4905241
2025-06-18 13:46:02.244773,33096.19088545325,33194.17981796306,33126.168076949645,33143.41222714471,3168144
2025-06-19 13:46:02.244773,33334.61276020383,33559.18364745619,33437.928554760976,33477.81285776013,1024810
2025-06-20 13:46:02.244773,33769.179061524126,33890.581332664784,33609.51051760031,33853.01842666696,9185522
2025-06-21 13:46:02.244773,34191.597663882036,34476.18841579463,34024.89528440003,34236.673369433454,6603496
2025-06-22 13:46:02.244773,33881.56756745221,34199.19421004091,33800.82002432827,34068.561205008555,8579772
2025-06-23 13:46:02.244773,33621.970249221995,34002.12698841457,33433.3561838982,33707.94159955706,9565294
2025-06-24 13:46:02.244773,33991.67475346095,34150.69633103849,33987.664740126595,34109.01788673488,1882085
2025-06-25 13:46:02.244773,33591.75299390401,33705.88807781938,33588.89998539769,33694.24642979857,8796455
2025-06-26 13:46:02.244773,33614.53640997752,34085.99738139171,33625.96220660059,33789.725728471996,9290980
2025-06-27 13:46:02.244773,33563.70233620786,33846.93958014356,33586.141806493884,33604.67848295955,2552436
2025-06-28 13:46:02.244773,32673.525591683614,32858.76819213878,32409.074676773354,32679.943123749395,1287416
2025-06-29 13:46:02.244773,32547.52644120588,33003.572516028245,32574.489177262018,32732.296815883594,6824667
2025-06-30 13:46:02.244773,33689.01110324193,34090.26267584288,33582.62382128936,33846.24516576133,1091966
2025-07-01 13:46:02.244773,33886.67302612758,34222.432870222285,33785.864126369335,33946.94431028976,1187714
2025-07-02 13:46:02.244773,33821.279455419106,33986.178835854495,33617.768442196764,33903.01772185705,3814665
2025-07-03 13:46:02.244773,33655.4729433748,33734.40848742238,33425.928775965476,33708.15875561524,9702804
2025-07-04 13:46:02.244773,33728.429017751594,33944.0083746741,33749.686652902754,33760.929854621856,6043572
2025-07-05 13:46:02.244773,33399.882465297385,33522.08829291351,33302.25581120739,33401.039428352655,5264759
2025-07-06 13:46:02.244773,32855.5316947081,33304.853408483126,32787.35282530986,33037.70970987293,5742458
2025-07-07 13:46:02.244773,31534.601568218302,31884.276362523433,31553.78034599521,31686.045203434725,1698589
