date,open,high,low,close,volume
2025-06-11 13:46:02.261172,27966.968630886815,28378.934394937693,27971.36503291105,28133.235558749468,7315541
2025-06-12 13:46:02.261172,27859.991501805187,28156.663362698055,27788.9517509276,27876.55451714713,2626493
2025-06-13 13:46:02.261172,27515.70970476428,27925.51341251028,27509.3685208658,27690.482607725637,9663115
2025-06-14 13:46:02.261172,28081.59490708608,28445.18634255872,28044.04861015185,28190.24175083697,2443980
2025-06-15 13:46:02.261172,27963.99178246461,28215.572959066387,27983.02977064616,27999.337456960227,2987851
2025-06-16 13:46:02.261172,28751.631022420854,28811.38818217627,28767.148728552835,28805.39090875733,9061964
2025-06-17 13:46:02.261172,29145.8605049853,29348.213101122255,29243.994982529628,29300.259346493214,4651614
2025-06-18 13:46:02.261172,28184.489284354484,28496.34537002215,28069.53218721965,28200.9379430101,7726365
2025-06-19 13:46:02.261172,27818.372246501753,28126.313069455275,27793.16764140751,27871.523366957543,1084377
2025-06-20 13:46:02.261172,27820.05003959109,28082.838161302636,27917.556339381073,27943.842245035463,1601443
2025-06-21 13:46:02.261172,27719.104095559254,28037.01812890481,27526.300283485583,27796.031548210383,9157165
2025-06-22 13:46:02.261172,27753.697629844435,28002.630810465005,27598.13204392537,27822.137967331983,4413209
2025-06-23 13:46:02.261172,28141.53637005376,28262.13970133824,28147.63215752945,28197.11202723733,8610490
2025-06-24 13:46:02.261172,28200.982545912495,28543.905959342716,28358.213148750638,28398.319739305985,5536157
2025-06-25 13:46:02.261172,27957.1274873998,28365.359726390463,28001.257761825753,28080.883453822364,7491802
2025-06-26 13:46:02.261172,27154.09733339576,27357.268349527236,27068.50112564098,27238.892143292887,5526855
2025-06-27 13:46:02.261172,27257.204865126554,27540.26126248287,27134.12082021044,27382.482662850933,2925267
2025-06-28 13:46:02.261172,27950.602757815042,28340.869102334447,27903.676480683374,28121.932659105976,8766111
2025-06-29 13:46:02.261172,27422.468037074857,27760.690715364002,27389.86327001543,27555.524113728217,9377403
2025-06-30 13:46:02.261172,27356.913270500932,27728.359660008868,27382.703216089314,27496.872855378646,1087487
